,Semana,Museo Nacional del Prado: (Dinamarca),plaza mayor: (Dinamarca),el retiro: (Finlandia),Puerta del Sol: (Finlandia),gran via: (Finlandia),Museo Nacional Thyssen-Bornemisza: (Finlandia),cibeles: (Finlandia),Puerta de Alcalá: (Finlandia),callao: (Finlandia)
145,2018-05-13,0,0,0,0,0,0,0,0,0
146,2018-05-20,26,0,0,0,0,0,0,97,0
147,2018-05-27,37,0,0,0,0,53,52,0,38
148,2018-06-03,38,0,0,37,0,0,0,0,0
149,2018-06-10,0,0,0,0,0,0,0,0,0
150,2018-06-17,0,39,0,0,0,0,0,0,36
151,2018-06-24,26,44,0,0,41,0,0,0,36
152,2018-07-01,55,46,0,0,0,0,50,0,0
153,2018-07-08,27,46,0,0,0,0,51,0,0
154,2018-07-15,0,50,0,0,43,0,0,0,75
155,2018-07-22,0,0,0,0,43,0,0,0,0
156,2018-07-29,27,0,62,0,0,0,0,0,0
157,2018-08-05,58,42,0,0,0,0,0,0,35
158,2018-08-12,25,41,0,0,0,0,0,0,34
159,2018-08-19,74,62,0,0,0,0,0,0,34
160,2018-08-26,24,0,0,0,0,0,0,0,0
161,2018-09-02,25,0,0,34,0,0,0,0,35
162,2018-09-09,24,0,0,0,0,0,0,0,0
163,2018-09-16,37,0,0,0,0,0,0,0,34
164,2018-09-23,25,61,0,0,59,0,0,0,35
165,2018-09-30,32,41,0,0,0,0,0,0,0
166,2018-10-07,60,0,0,35,40,50,0,0,35
167,2018-10-14,28,46,0,0,0,0,0,0,37
168,2018-10-21,100,42,0,0,40,0,0,0,36
169,2018-10-28,0,0,0,0,80,50,48,0,35
170,2018-11-04,24,0,0,0,39,0,0,0,35
171,2018-11-11,25,42,0,0,75,0,0,0,100
172,2018-11-18,24,40,0,0,0,0,0,0,34
173,2018-11-25,36,41,0,35,40,0,48,0,36
174,2018-12-02,24,0,0,0,38,0,0,0,0
175,2018-12-09,25,0,0,0,40,0,0,0,35
176,2018-12-16,26,44,0,0,0,0,0,0,37
177,2018-12-23,29,0,0,0,46,0,0,0,40
178,2018-12-30,27,0,0,35,40,0,0,0,53
179,2019-01-06,24,0,0,0,38,0,0,0,34
180,2019-01-13,25,41,60,0,0,0,0,0,35
181,2019-01-20,25,0,0,0,0,0,0,0,33
182,2019-01-27,48,0,0,34,57,0,0,0,0
183,2019-02-03,25,0,60,0,78,48,0,89,34
184,2019-02-10,27,0,0,0,38,0,0,0,34
185,2019-02-17,24,41,0,0,39,0,0,0,0
186,2019-02-24,25,41,0,0,37,0,45,0,33
187,2019-03-03,0,0,0,0,39,0,0,0,0
188,2019-03-10,24,41,0,35,79,0,0,0,35
189,2019-03-17,0,41,0,0,0,0,0,0,34
190,2019-03-24,24,40,0,0,39,0,0,0,0
191,2019-03-31,51,0,0,0,0,0,0,0,0
192,2019-04-07,25,0,0,0,0,0,0,0,0
193,2019-04-14,29,48,0,35,0,0,0,0,0
194,2019-04-21,25,0,0,0,0,0,0,0,35
195,2019-04-28,24,40,0,0,0,0,0,0,32
196,2019-05-05,24,0,0,0,37,47,0,0,0
197,2019-05-12,0,0,0,0,0,0,47,0,34
198,2019-05-19,0,82,0,100,38,0,0,0,0
199,2019-05-26,49,0,0,0,38,0,0,0,0
200,2019-06-02,0,0,0,0,0,0,0,0,0
201,2019-06-09,37,0,0,0,38,0,0,0,0
202,2019-06-16,25,42,0,0,0,0,0,0,37
203,2019-06-23,26,45,0,0,0,0,0,0,0
204,2019-06-30,27,45,0,0,38,0,0,0,0
205,2019-07-07,28,93,0,0,0,0,0,0,34
206,2019-07-14,0,97,0,0,40,0,0,0,0
207,2019-07-21,59,0,0,0,0,0,0,0,74
208,2019-07-28,68,45,0,0,38,0,0,0,35
209,2019-08-04,52,0,0,0,0,0,0,0,0
210,2019-08-11,36,40,0,0,0,0,0,0,32
211,2019-08-18,24,41,56,0,0,0,0,0,0
212,2019-08-25,24,41,0,32,0,0,45,0,33
213,2019-09-01,23,0,0,0,35,0,42,0,31
214,2019-09-08,24,0,0,0,0,0,0,0,31
215,2019-09-15,24,0,0,0,54,0,0,0,0
216,2019-09-22,40,0,0,0,37,0,0,0,0
217,2019-09-29,59,40,0,0,0,0,0,0,31
218,2019-10-06,24,40,0,0,0,0,0,0,32
219,2019-10-13,25,42,0,0,0,0,0,0,0
220,2019-10-20,24,39,56,0,37,0,0,0,0
221,2019-10-27,36,40,0,0,0,45,0,0,0
222,2019-11-03,47,0,0,0,0,0,0,0,32
223,2019-11-10,23,0,0,0,0,0,0,0,31
224,2019-11-17,94,0,0,0,0,0,0,0,32
225,2019-11-24,22,37,0,0,0,0,0,0,0
226,2019-12-01,23,39,0,0,36,0,0,0,32
227,2019-12-08,23,39,0,33,0,0,45,0,32
228,2019-12-15,0,40,0,0,37,46,0,0,32
229,2019-12-22,0,46,0,0,0,51,0,0,0
230,2019-12-29,25,41,0,33,0,0,0,0,0
231,2020-01-05,22,0,0,0,35,0,0,0,0
232,2020-01-12,0,36,0,0,0,0,0,0,0
233,2020-01-19,53,76,0,0,0,0,0,0,31
234,2020-01-26,30,38,0,0,0,0,0,0,30
235,2020-02-02,38,39,53,0,0,0,42,0,30
236,2020-02-09,59,0,0,0,70,0,0,0,0
237,2020-02-16,22,0,0,0,0,0,0,0,0
238,2020-02-23,0,0,0,0,0,0,0,0,0
239,2020-03-01,44,0,0,0,34,0,0,0,0
240,2020-03-08,21,71,0,0,0,0,0,0,0
241,2020-03-15,63,0,0,28,0,0,38,0,0
242,2020-03-22,21,0,0,0,0,0,0,0,0
243,2020-03-29,20,0,0,0,0,0,0,0,0
244,2020-04-05,23,0,0,0,32,0,0,0,0
245,2020-04-12,21,0,0,27,61,39,0,0,0
246,2020-04-19,22,0,0,28,0,0,0,0,0
247,2020-04-26,20,0,0,0,0,0,0,0,0
248,2020-05-03,35,0,0,0,0,0,0,0,28
249,2020-05-10,21,0,0,0,0,0,0,0,0
250,2020-05-17,44,0,0,0,0,0,0,0,30
251,2020-05-24,0,36,0,30,68,42,0,0,30
252,2020-05-31,0,0,0,0,0,0,0,0,29
253,2020-06-07,21,35,0,31,0,0,0,0,0
254,2020-06-14,22,0,0,0,0,0,0,0,0
255,2020-06-21,35,0,0,0,0,0,0,0,0
256,2020-06-28,66,0,0,0,0,0,0,0,29
257,2020-07-05,23,39,0,0,0,0,0,0,0
258,2020-07-12,41,42,0,0,0,0,0,0,0
259,2020-07-19,24,0,0,0,35,0,0,0,0
260,2020-07-26,0,0,0,0,0,0,0,0,0
