Semana,Museo Nacional del Prado: (Bélgica),Plaza Mayor: (Bélgica),Parque de El Retiro: (Bélgica),puerta del sol: (Bélgica),gran via: (Bélgica),Museo Nacional Thyssen-Bornemisza: (Bélgica),Templo de Debod: (Bélgica),Catedral de Santa María la Real de la Almudena: (Bélgica),cibeles: (Bélgica),Palacio de Cristal: (Bélgica),El Rastro: (Bélgica),Plaza de Toros de Las Ventas: (Bélgica),Chueca: (Bélgica),callao: (Bélgica),Calle de Serrano: (Bélgica)
2017-05-28,17,44,0,44,23,0,51,0,70,0,0,0,0,18,0
2017-06-04,0,42,46,0,16,20,49,0,85,0,0,0,0,17,0
2017-06-11,25,0,0,63,16,0,0,45,0,0,46,0,66,0,0
2017-06-18,17,42,0,0,33,20,0,0,52,0,0,77,0,26,57
2017-06-25,17,0,0,22,17,0,0,0,54,0,0,0,70,25,0
2017-07-02,28,0,52,24,25,0,0,50,0,0,0,0,74,30,0
2017-07-09,19,0,51,24,49,0,0,0,57,55,0,0,0,20,0
2017-07-16,20,0,0,0,19,24,0,0,0,0,0,0,0,21,0
2017-07-23,0,47,51,47,18,0,0,49,0,54,0,0,0,20,0
2017-07-30,18,44,49,22,26,0,51,0,0,0,0,0,0,18,0
2017-08-06,17,0,0,0,68,21,0,0,0,51,0,0,70,28,59
2017-08-13,18,0,0,0,52,0,0,47,81,0,0,0,0,19,0
2017-08-20,26,44,0,33,17,21,52,46,0,0,0,0,0,0,0
2017-08-27,17,63,46,21,33,20,49,0,0,0,0,52,0,35,0
2017-09-03,50,0,0,0,24,0,49,0,0,0,0,0,0,26,0
2017-09-10,0,0,45,21,21,20,0,0,0,48,0,0,0,17,56
2017-09-17,34,0,46,21,33,40,0,0,51,0,0,0,0,27,0
2017-09-24,16,41,0,21,0,20,48,0,49,48,0,0,0,0,0
2017-10-01,16,40,0,40,0,19,47,0,0,0,0,0,0,33,0
2017-10-08,0,40,0,30,23,0,0,0,98,0,0,49,0,17,0
2017-10-15,32,40,44,0,0,39,47,0,0,0,45,0,0,0,54
2017-10-22,23,0,43,0,30,0,46,0,0,0,0,0,62,17,0
2017-10-29,0,0,45,21,16,20,48,44,0,0,0,0,98,0,0
2017-11-05,31,58,0,19,0,19,0,0,47,0,0,0,0,0,0
2017-11-12,31,39,42,19,25,19,45,0,0,0,0,0,0,33,0
2017-11-19,15,77,0,0,15,0,0,40,0,0,0,46,0,16,0
2017-11-26,23,39,0,29,0,0,45,0,46,0,0,0,0,16,0
2017-12-03,16,0,0,0,15,19,0,41,0,0,0,0,0,0,0
2017-12-10,0,0,0,0,22,18,0,40,0,0,42,0,0,16,0
2017-12-17,0,40,0,40,0,29,0,0,0,0,0,0,0,0,0
2017-12-24,68,44,0,0,17,0,0,0,0,0,0,0,0,18,0
2017-12-31,32,0,0,34,32,20,48,0,0,0,0,0,0,17,0
2018-01-07,15,0,41,19,30,0,0,40,0,44,42,0,60,16,0
2018-01-14,15,0,41,38,24,18,44,0,0,0,0,46,0,24,0
2018-01-21,37,37,41,19,29,18,44,0,0,0,0,0,59,47,0
2018-01-28,15,0,0,0,22,18,44,40,0,0,0,0,60,16,0
2018-02-04,15,0,42,19,15,18,0,0,0,0,0,0,0,16,0
2018-02-11,31,0,0,20,23,19,46,83,47,0,0,95,0,33,0
2018-02-18,30,0,42,19,15,37,0,40,47,0,0,0,0,16,0
2018-02-25,15,0,41,19,15,18,44,0,0,0,0,0,0,24,0
2018-03-04,30,38,0,19,34,18,0,40,0,44,0,92,60,32,0
