Semana,Museo Nacional del Prado: (Países Bajos),Plaza Mayor: (Países Bajos),Parque de El Retiro: (Países Bajos),puerta del sol: (Países Bajos),gran via: (Países Bajos),Museo Nacional Thyssen-Bornemisza: (Países Bajos),Templo de Debod: (Países Bajos),Catedral de Santa María la Real de la Almudena: (Países Bajos),cibeles: (Países Bajos),Palacio de Cristal: (Países Bajos),Puerta de Alcalá: (Países Bajos),El Rastro: (Países Bajos),Plaza de Toros de Las Ventas: (Países Bajos),Chueca: (Países Bajos),callao: (Países Bajos)
2019-01-13,<1,0,28,58,71,0,45,15,41,0,0,40,0,0,31
2019-01-20,<1,47,26,43,32,0,0,0,40,0,0,0,0,0,26
2019-01-27,<1,31,27,29,57,14,43,0,0,0,0,0,31,26,20
2019-02-03,<1,32,0,0,26,15,44,15,0,0,0,0,32,27,20
2019-02-10,<1,0,0,30,20,30,0,0,41,0,50,41,0,54,61
2019-02-17,<1,33,56,0,60,15,0,23,42,0,50,0,0,0,21
2019-02-24,<1,65,28,40,33,0,0,15,0,0,0,0,0,0,0
2019-03-03,<1,33,28,100,50,15,45,0,42,0,0,0,0,27,31
2019-03-10,<1,0,27,0,39,0,44,0,61,43,0,0,32,27,81
2019-03-17,<1,32,0,30,49,15,0,15,41,43,0,0,0,0,21
2019-03-24,<1,50,28,30,20,15,0,0,42,0,0,0,33,55,62
2019-03-31,<1,0,0,30,20,23,45,0,42,0,0,0,0,27,42
2019-04-07,<1,33,28,0,33,15,45,0,41,44,0,0,0,0,41
2019-04-14,<1,0,57,51,41,15,0,31,0,0,50,0,0,28,42
2019-04-21,<1,34,28,31,34,15,47,16,86,0,0,44,68,28,43
2019-04-28,<1,0,27,0,39,0,0,15,0,0,0,0,0,54,41
2019-05-05,<1,48,81,29,38,15,0,0,41,43,0,40,32,27,20
2019-05-12,<1,31,27,29,58,0,0,15,41,0,49,0,0,0,40
2019-05-19,<1,0,0,29,19,0,43,15,81,43,0,0,0,80,20
2019-05-26,<1,0,0,58,49,44,0,0,0,0,0,0,32,0,20
2019-06-02,<1,60,25,28,18,14,0,14,0,41,45,0,30,25,19
2019-06-09,<1,30,0,28,37,14,0,0,39,0,0,0,0,26,19
2019-06-16,<1,0,67,29,26,15,43,0,0,42,0,0,0,0,40
2019-06-23,<1,43,27,0,20,0,0,15,0,0,0,0,32,54,20
2019-06-30,<1,0,54,29,32,0,0,0,0,0,0,0,0,0,47
2019-07-07,<1,32,27,29,29,15,0,0,0,0,0,0,31,0,30
2019-07-14,<1,34,28,0,41,0,0,16,86,0,0,0,33,28,21
2019-07-21,<1,0,30,0,29,33,0,0,0,0,0,0,0,30,67
2019-07-28,<1,71,0,33,54,0,49,0,45,48,54,0,0,30,37
2019-08-04,<1,36,0,33,54,16,49,0,45,48,0,45,0,0,56
2019-08-11,<1,34,0,31,20,31,0,15,0,44,0,0,0,0,32
2019-08-18,1,0,0,31,62,0,0,16,0,0,52,0,0,0,54
2019-08-25,<1,33,28,30,27,15,0,15,0,44,50,42,0,0,42
2019-09-01,<1,31,26,28,56,14,43,0,0,0,0,0,0,0,29
2019-09-08,<1,32,0,58,51,29,0,0,0,0,0,0,31,0,0
2019-09-15,<1,32,40,29,45,0,43,0,40,0,0,40,31,79,40
2019-09-22,<1,31,26,0,31,14,0,14,39,41,0,0,0,26,51
2019-09-29,<1,45,0,28,37,14,41,0,39,41,0,0,0,25,19
2019-10-06,<1,46,26,28,83,0,0,28,39,40,0,0,30,0,47
2019-10-13,<1,0,26,28,75,21,0,14,39,0,0,39,0,0,19
2019-10-20,<1,0,0,29,38,14,0,15,0,0,0,0,31,0,59
2019-10-27,<1,30,0,0,18,0,0,0,38,0,46,39,0,0,51
2019-11-03,<1,30,26,0,30,0,0,0,58,0,0,0,30,0,25
2019-11-10,<1,91,26,28,31,14,42,0,39,0,0,39,0,25,32
2019-11-17,100,90,0,28,18,21,0,14,0,0,0,0,0,0,29
2019-11-24,2,29,0,0,62,14,41,27,38,0,0,38,0,49,65
2019-12-01,<1,61,26,0,37,21,42,14,0,0,0,0,0,0,38
2019-12-08,<1,46,0,28,56,0,42,0,0,0,0,0,0,0,19
2019-12-15,<1,0,26,28,31,0,41,0,39,0,0,0,30,25,38
2019-12-22,<1,50,0,30,20,0,0,0,0,45,0,0,0,0,21
2019-12-29,<1,63,27,44,45,15,0,0,0,0,0,41,31,53,20
2020-01-05,<1,30,25,27,27,13,0,0,37,40,0,0,0,25,28
2020-01-12,<1,28,48,26,52,0,0,0,36,38,43,0,28,24,30
2020-01-19,<1,44,0,0,29,13,40,0,74,0,44,0,29,0,37
2020-01-26,<1,29,25,0,71,13,40,18,38,0,0,0,0,0,18
2020-02-02,<1,0,25,27,18,27,0,0,0,0,0,0,29,0,31
2020-02-09,<1,0,24,26,35,13,0,0,0,0,0,0,0,24,36
2020-02-16,<1,29,25,0,30,27,40,27,0,0,0,0,29,24,37
2020-02-23,<1,29,24,26,17,13,40,13,0,0,0,37,29,24,18
2020-03-01,<1,28,0,26,40,0,0,0,0,38,0,0,0,0,44
2020-03-08,<1,55,0,25,33,13,0,0,0,0,0,0,55,0,26
2020-03-15,<1,0,0,25,33,13,0,0,0,0,0,35,0,0,35
2020-03-22,<1,0,23,0,17,0,0,0,34,0,41,0,0,0,0
2020-03-29,<1,26,67,0,16,36,36,0,34,0,0,34,0,0,0
2020-04-05,<1,0,23,25,22,0,0,13,35,0,42,35,0,0,17
2020-04-12,<1,27,23,25,16,12,37,0,34,0,41,0,0,0,0
2020-04-19,<1,0,23,0,25,0,37,0,35,0,0,35,0,0,0
2020-04-26,<1,0,0,0,16,12,37,0,34,0,40,0,27,0,17
2020-05-03,<1,0,23,25,24,0,37,0,34,0,41,0,0,23,17
2020-05-10,<1,26,44,24,16,0,0,0,33,0,0,0,0,0,16
2020-05-17,<1,27,0,25,41,0,0,13,35,0,0,0,0,0,0
2020-05-24,<1,26,0,0,26,0,36,0,33,0,39,33,0,22,17
2020-05-31,<1,25,22,0,0,0,0,0,0,0,0,0,0,0,24
2020-06-07,<1,25,0,46,0,12,0,0,0,0,0,0,0,0,16
2020-06-14,<1,0,22,0,16,0,0,0,33,0,0,0,0,0,21
2020-06-21,<1,54,0,0,0,13,0,12,0,0,0,0,27,0,23
2020-06-28,<1,26,22,0,39,12,0,0,0,0,0,0,0,0,16
2020-07-05,<1,27,23,0,17,0,0,0,0,37,0,0,27,0,40
2020-07-12,0,29,0,0,18,18,0,0,75,0,0,0,58,25,0
2020-07-19,<1,0,0,0,18,20,0,0,0,0,0,0,0,0,18
2020-07-26,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0
