,Semana,bellver: (Francia),cuevas del drach: (Francia),formentor: (Francia),palma aquarium: (Francia),soller: (Francia),cala galdana: (Francia),cala mitjana: (Francia),cala macarella: (Francia),cala macarelleta: (Francia),albufera: (Francia),cala pregonda: (Francia),favaritx: (Francia),benirras: (Francia),es vedra: (Francia),ses salines: (Francia),cala salada: (Francia),ses illetes: (Francia),es pujols: (Francia),babaria: (Francia),magaluf: (Francia)
95,2017-05-28,14,0,23,0,43,25,33,0,0,66,0,0,0,33,0,91,76,46,0,40
96,2017-06-04,21,0,16,43,60,78,33,0,0,43,0,0,0,0,0,31,39,46,31,31
97,2017-06-11,14,0,15,0,46,51,33,32,0,28,0,0,0,0,47,31,0,45,31,32
98,2017-06-18,14,0,18,0,43,25,0,0,0,28,0,0,42,0,31,0,38,45,30,54
99,2017-06-25,65,0,23,0,51,63,33,32,47,37,0,0,41,33,0,30,38,0,0,63
100,2017-07-02,15,37,9,0,56,40,68,33,0,44,0,51,44,46,32,31,0,46,0,45
101,2017-07-09,22,0,29,46,74,27,35,34,100,52,0,0,45,70,33,32,41,0,48,62
102,2017-07-16,52,0,10,68,62,27,0,34,0,67,51,52,0,52,0,32,0,0,32,48
103,2017-07-23,15,0,43,0,89,26,0,100,0,49,0,51,0,85,65,31,39,62,31,56
104,2017-07-30,22,0,29,60,82,27,0,45,49,49,0,0,0,34,0,63,40,0,0,57
105,2017-08-06,25,38,32,45,88,72,0,34,50,65,0,0,0,47,33,32,0,47,0,65
106,2017-08-13,52,39,37,47,80,57,36,35,52,68,54,0,47,55,34,33,0,100,50,67
107,2017-08-20,29,0,32,89,39,53,34,0,0,20,0,0,88,51,32,0,0,0,32,64
108,2017-08-27,23,0,35,42,78,25,32,0,0,48,47,0,0,0,0,29,37,44,30,62
109,2017-09-03,100,34,9,0,65,0,32,0,0,27,47,0,41,32,75,0,37,0,29,40
110,2017-09-10,40,0,9,41,54,0,0,30,0,22,0,0,0,31,59,29,0,43,0,39
111,2017-09-17,37,0,24,0,60,25,32,0,46,23,0,0,0,32,0,29,37,44,29,20
112,2017-09-24,22,34,13,41,41,24,0,31,0,40,0,0,40,32,0,0,0,0,0,16
113,2017-10-01,44,0,9,0,40,0,0,0,0,47,0,0,0,0,0,0,0,43,0,9
114,2017-10-08,63,0,9,41,26,49,0,0,0,22,0,0,40,0,0,0,0,0,29,13
115,2017-10-15,45,0,9,0,41,33,0,31,0,20,0,0,0,32,0,0,0,0,0,9
116,2017-10-22,54,34,9,41,31,0,0,0,0,13,0,0,40,32,30,0,0,0,29,9
117,2017-10-29,27,0,9,41,19,0,0,0,45,33,0,0,0,0,29,0,0,0,0,6
118,2017-11-05,43,0,8,40,27,23,0,0,0,26,45,0,0,30,29,0,0,0,28,10
119,2017-11-12,30,0,17,0,22,0,0,0,0,13,45,0,39,0,29,28,0,0,28,7
120,2017-11-19,19,0,8,0,20,24,0,0,0,20,0,0,0,0,0,0,0,0,0,5
121,2017-11-26,26,0,8,0,34,0,30,29,0,26,0,45,0,0,0,0,0,0,0,6
122,2017-12-03,26,0,8,0,25,0,0,0,0,20,0,0,0,0,0,0,0,0,28,10
123,2017-12-10,26,0,17,0,15,0,0,0,0,17,0,45,0,30,0,0,0,0,0,7
124,2017-12-17,36,0,9,0,18,25,0,0,0,45,0,0,0,32,0,0,0,0,29,0
125,2017-12-24,15,0,10,45,40,81,0,0,0,25,0,0,0,35,0,0,40,0,32,9
126,2017-12-31,34,0,9,0,26,25,0,0,0,50,0,0,41,32,0,0,0,44,0,8
127,2018-01-07,21,0,0,0,15,0,0,0,43,26,0,0,0,30,0,27,0,41,0,10
128,2018-01-14,34,0,17,39,39,23,0,0,0,59,0,0,0,30,28,0,0,0,28,16
129,2018-01-21,38,0,8,38,26,34,0,29,42,34,0,0,38,0,28,27,34,0,27,21
