Semana,Museo Nacional del Prado: (Todo el mundo),plaza mayor: (Todo el mundo),Parque de El Retiro: (Todo el mundo),puerta del sol: (Todo el mundo),gran via: (Todo el mundo),Museo Nacional Thyssen-Bornemisza: (Todo el mundo),templo de debod: (Todo el mundo),Catedral de Santa María la Real de la Almudena: (Todo el mundo),cibeles: (Todo el mundo),Palacio de Cristal: (Todo el mundo),puerta de alcala: (Todo el mundo),el rastro: (Todo el mundo),las ventas: (Todo el mundo),chueca: (Todo el mundo),san gines: (Todo el mundo),callao: (Todo el mundo),calle serrano: (Todo el mundo)
2018-04-08,1,53,49,15,51,40,66,10,26,45,49,63,50,49,40,63,83
2018-04-15,1,56,37,16,52,50,68,11,26,40,61,60,50,62,40,59,83
2018-04-22,1,62,51,15,49,47,74,14,26,42,47,59,55,55,39,62,78
2018-04-29,1,71,43,17,59,59,63,15,28,44,58,59,75,52,42,57,72
2018-05-06,1,64,35,15,58,55,56,13,23,27,56,57,77,57,31,60,68
2018-05-13,1,64,40,14,48,56,63,12,24,41,54,55,94,53,38,59,64
2018-05-20,1,58,56,14,50,42,54,10,42,52,48,54,88,51,34,61,76
2018-05-27,1,57,46,15,53,35,51,18,71,35,71,57,85,52,35,59,78
2018-06-03,1,57,31,12,54,37,50,10,25,49,65,59,75,57,40,57,59
2018-06-10,1,55,41,12,50,37,62,10,22,35,53,68,49,54,40,61,83
2018-06-17,1,52,39,14,53,35,53,7,25,41,49,52,38,59,43,61,79
2018-06-24,1,54,32,14,49,37,53,9,23,40,49,55,36,62,30,57,82
2018-07-01,1,61,36,16,54,41,54,10,29,46,53,60,34,71,35,65,75
2018-07-08,1,64,44,14,54,44,51,8,28,41,46,55,36,57,31,66,66
2018-07-15,1,64,34,13,51,40,67,9,29,43,61,62,36,54,40,67,66
2018-07-22,1,65,32,14,50,48,58,8,29,33,66,64,33,54,39,66,70
2018-07-29,1,62,35,13,53,47,58,8,27,55,61,59,35,58,41,68,65
2018-08-05,1,66,44,15,52,36,65,11,27,40,54,66,34,54,55,71,49
2018-08-12,1,71,44,13,45,34,59,9,25,39,44,61,42,50,56,74,52
2018-08-19,1,71,39,13,45,41,69,10,23,53,39,66,40,52,87,83,52
2018-08-26,1,64,42,14,51,44,40,12,25,41,47,65,44,59,41,69,58
2018-09-02,1,72,36,15,56,45,52,11,28,39,43,62,48,58,38,71,80
2018-09-09,1,65,41,13,53,49,50,10,27,47,57,51,49,58,35,65,61
2018-09-16,1,60,43,15,52,48,51,12,25,50,100,49,48,51,28,64,70
2018-09-23,1,58,39,15,54,46,54,18,28,74,66,62,57,53,44,65,75
2018-09-30,1,61,36,14,53,43,63,26,28,46,74,63,59,59,39,70,60
2018-10-07,1,65,42,15,57,44,58,20,26,38,86,56,53,55,45,100,57
2018-10-14,1,58,35,15,54,45,49,23,24,55,81,68,48,55,40,65,77
2018-10-21,1,58,39,15,57,41,44,22,24,64,99,61,39,54,29,63,81
2018-10-28,1,69,38,15,59,44,64,34,23,56,55,54,37,55,44,62,59
2018-11-04,1,62,31,14,58,40,53,100,21,47,57,63,37,53,52,67,78
2018-11-11,1,59,29,16,55,43,47,14,22,59,48,64,39,57,51,65,71
2018-11-18,1,65,25,16,66,39,38,11,23,65,53,53,38,56,41,63,73
2018-11-25,1,62,23,17,62,37,48,10,26,41,65,52,38,58,43,61,69
2018-12-02,1,78,45,19,64,41,73,13,27,65,61,50,37,58,49,63,83
2018-12-09,1,68,29,20,58,32,40,10,24,38,56,40,30,54,43,65,67
2018-12-16,1,80,26,17,64,42,39,9,23,40,59,38,25,56,39,64,84
2018-12-23,1,90,40,19,65,39,69,14,29,61,62,40,20,54,50,63,66
2018-12-30,1,76,39,37,64,49,57,11,30,58,61,45,21,54,58,66,67
2019-01-06,1,54,29,17,60,34,33,11,22,34,60,54,27,47,34,67,64
2019-01-13,1,49,28,16,54,35,43,8,24,51,55,50,29,48,42,69,67
2019-01-20,1,53,38,16,53,41,45,8,23,70,57,47,30,57,40,66,68
2019-01-27,1,51,41,15,54,36,48,13,24,57,59,45,35,55,41,62,68
2019-02-03,1,48,35,13,48,41,51,12,24,77,49,42,35,55,42,66,86
2019-02-10,1,64,43,15,53,44,59,18,26,79,60,44,36,55,44,64,65
2019-02-17,1,60,42,15,51,60,62,15,21,69,49,46,41,53,41,67,74
